,Location,Type,Amount,Year
286,Queens Park Grandstand,Electric kWh,3669.05854800937,2001/02
287,Raasay Primary School,Electric kWh,24802.852038479148,2001/02
288,Raigmore Community Centre,Electric kWh,0.0,2001/02
289,Raigmore Primary School,Electric kWh,47101.510740622005,2001/02
290,Raigmore Primary School,Oil kWh,182433.64072132733,2001/02
291,Reay Primary School,Electric kWh,691721.8140515222,2001/02
292,Rogart Primary School,Electric kWh,108916.26666666658,2001/02
293,Rosebank Primary School,Electric kWh,172155.19106699742,2001/02
294,Rosebank Primary School,Oil kWh,596449.368276619,2001/02
295,Rosehall Primary School,Electric kWh,245570.77096310502,2001/02
296,Rosemarkie Beach Amenities,Electric kWh,0.0,2001/02
297,Roy Bridge Primary School,Electric kWh,400900.3531836922,2001/02
298,Scourie Primary School,Electric kWh,677144.2373151565,2001/02
299,Shieldaig Primary School,Electric kWh,122885.12740046835,2001/02
300,Sir John's Square Gardens,Electric kWh,2798.0328592447268,2001/02
301,Sleat Primary School _Bun-sgoil Shleite,Electric kWh,296374.7749881573,2001/02
302,Smithton Primary School,Electric kWh,1065848.4945523452,2001/02
303,Smithton Primary School,Oil kWh,367684.08546965284,2001/02
304,South Lodge Primary School,Electric kWh,80859.82450667216,2001/02
305,South Lodge Primary School,Oil kWh,320922.5889559933,2001/02
306,St Bride's Primary School,Electric kWh,70289.99999999997,2001/02
307,St Clements Special School,Electric kWh,117048.399637517,2001/02
308,St Clements Special School,Oil kWh,122862.44183765385,2001/02
309,St Duthus School,Electric kWh,655571.0580796252,2001/02
310,St Joseph's RC Primary School,Electric kWh,429062.96645903215,2001/02
311,St Joseph's RC Primary School,Oil kWh,317945.4573873584,2001/02
312,Staffin Primary School,Electric kWh,309472.61419068737,2001/02
313,Stoer Primary School (Mothballed),Electric kWh,72233.74976564654,2001/02
314,Strathconon Primary School,Electric kWh,230857.6086316822,2001/02
315,Stratherrick Primary School,Electric kWh,88481.69592937718,2001/02
316,Strathgarve Primary School,Electric kWh,0.0,2001/02
317,Strathpeffer Primary School,Electric kWh,288568.97177419363,2001/02
318,Struan Primary School,Electric kWh,17693.262908574136,2001/02
319,Struy Primary School,Electric kWh,92618.24111795356,2001/02
320,Tain Royal Academy,Electric kWh,0.0,2001/02
321,Tain Royal Academy,Oil kWh,1905072.067691138,2001/02
322,Tarbat Primary School,Electric kWh,281036.5487741026,2001/02
323,Tarbat Primary School,Oil kWh,87622.17922215106,2001/02
324,Tarradale Primary School,Electric kWh,814737.3297169335,2001/02
325,Tarradale Primary School,Oil kWh,220391.83465235605,2001/02
326,Teanassie Primary School,Electric kWh,140155.4960072373,2001/02
327,The Breck Leisure Centre,Electric kWh,35959.98795738768,2001/02
328,The Bridge,Electric kWh,0.0,2001/02
329,Thrumster Primary School,Electric kWh,491238.16674652614,2001/02
330,Thurso High School,Electric kWh,0.0,2001/02
331,Thurso High School,Oil kWh,537743.291329152,2001/02
332,Thurso Youth Club,Electric kWh,1331.169237362255,2001/02
333,Tomnacross Primary School,Electric kWh,3988.160863168219,2001/02
334,Tongue Primary School,Electric kWh,17078.74597983755,2001/02
335,Tore Primary School,Electric kWh,9643.96572280179,2001/02
336,Torridon Primary School (Mothballed),Electric kWh,131788.92424921563,2001/02
337,Uig Primary School,Electric kWh,226033.87313094703,2001/02
338,Ullapool Gym Hall,Electric kWh,392.995746490855,2001/02
339,Ullapool High School,Electric kWh,0.0,2001/02
340,Ullapool Primary School,Electric kWh,16589.51111111111,2001/02
341,Ullapool Primary School,Oil kWh,174066.56578054634,2001/02
342,Watten Primary School,Electric kWh,1202366.527138515,2001/02
343,Wick High School,Electric kWh,0.0,2001/02
344,Wick High School,Oil kWh,3310976.230134429,2001/02
345,Wick Youth Club,Electric kWh,37912.400101677675,2001/02
346,Abernethy Primary School,Electric kWh,41151.894938514284,2002/03
347,Abernethy Primary School,Oil kWh,300088.23071321734,2002/03
348,Acharacle Primary School ,Electric kWh,100418.46378896883,2002/03
349,Achfary Primary School,Electric kWh,65788.17850319142,2002/03
350,Achiltibuie Primary School,Electric kWh,70823.28369275207,2002/03
351,Aldourie Primary School,Electric kWh,26124.14426229509,2002/03
352,Alness Academy ( Old ),Electric kWh,410234.951688414,2002/03
353,Alness Academy ( Old ),Oil kWh,2811864.4277290124,2002/03
354,Altnaharra Primary School (Mothballed),Electric kWh,1883.591251610515,2002/03
355,Altnaharra Primary School (Mothballed),Oil kWh,26890.787247123462,2002/03
356,Alvie Primary School,Electric kWh,73144.42728125476,2002/03
357,Applecross Primary School,Electric kWh,8374.387410353982,2002/03
358,Ardersier Primary School,Electric kWh,187795.76522341074,2002/03
359,Ardgour Primary School,Electric kWh,44907.74828010032,2002/03
360,Ardross Primary School,Electric kWh,86404.65035027043,2002/03
361,Arisaig RC Primary School,Electric kWh,8406.821052631578,2002/03
362,Arisaig RC Primary School,Oil kWh,40235.40101388111,2002/03
363,Auchtertyre Primary School,Electric kWh,85414.13854143907,2002/03
364,Auldearn Primary School,Electric kWh,99064.34763174565,2002/03
365,Aviemore Primary School,Electric kWh,0.0,2002/03
366,Avoch Primary School,Electric kWh,56014.439303710504,2002/03
367,Avoch Primary School,Oil kWh,335683.8782491575,2002/03
368,Badcaul Primary School,Electric kWh,67385.77706778706,2002/03
369,Ballachulish Primary School,Electric kWh,107335.24502405876,2002/03
370,Balloch Primary School,Electric kWh,164223.35454219382,2002/03
371,Balnain Primary School,Electric kWh,98790.61859127936,2002/03
372,Banavie Primary School,Electric kWh,34429.76120398302,2002/03
373,Banavie Primary School,Oil kWh,216608.01712464404,2002/03
374,Beauly Primary School,Electric kWh,186731.08998307667,2002/03
375,Beauly Primary School,Oil kWh,126466.87250419788,2002/03
376,Ben Wyvis Primary School,Electric kWh,0.0,2002/03
377,Bishop Eden Primary School,Electric kWh,45361.03775241054,2002/03
378,Black Isle Centre Raddery School,Electric kWh,3756.09689213894,2002/03
379,Black Isle Centre Raddery School,Oil kWh,0.0,2002/03
380,Bonar Bridge Primary School,Electric kWh,143563.05431469437,2002/03
381,Bower Primary School,Electric kWh,64144.297628902714,2002/03
382,Bridgend Primary School,Electric kWh,103913.56269022111,2002/03
383,Bridgend Primary School,Oil kWh,402291.9797839806,2002/03
384,Broadford Primary School,Electric kWh,55441.13919580228,2002/03
385,Broadford Primary School,Oil kWh,141229.21175275912,2002/03
386,Brora Heritage Centre,Electric kWh,21559.201046063325,2002/03
387,Brora Primary School,Electric kWh,691212.5,2002/03
388,Bualnaluib Nursery School,Electric kWh,26340.681155338534,2002/03
389,Bualnaluib Primary School,Electric kWh,91988.69795513901,2002/03
390,Cameron Youth Centre / Comm' Ed' Office,Electric kWh,64038.00720936561,2002/03
391,Canisbay Primary School,Electric kWh,76941.08425532619,2002/03
392,Cannich Bridge Primary School,Electric kWh,77074.2100511104,2002/03
393,Caol Community Centre,Electric kWh,317829.8257394081,2002/03
394,Caol Sports Pavilion (all weather pitch),Electric kWh,5994.3272239577545,2002/03
395,Carbost Primary School,Electric kWh,46785.94443650185,2002/03
396,Carrbridge Primary School,Electric kWh,128562.8401853346,2002/03
397,Castletown Primary School,Electric kWh,54984.32952606247,2002/03
398,Castletown Primary School,Oil kWh,374481.25614175416,2002/03
399,Cauldeen Primary School,Electric kWh,105063.03314341864,2002/03
400,Central Primary School,Electric kWh,0.0,2002/03
401,Central Primary School,Oil kWh,259243.9205440562,2002/03
402,Charleston Academy,Electric kWh,372853.3999999999,2002/03
403,Clachnaharry Office,Electric kWh,68429.25319668939,2002/03
404,Coulhill Primary School,Electric kWh,205671.36520257677,2002/03
405,Coulhill Primary School,Oil kWh,354560.52858742315,2002/03
406,Cradlehall Primary School,Electric kWh,20116.16283820819,2002/03
407,Cradlehall Primary School,Oil kWh,234845.61761294684,2002/03
408,Craighill Primary School,Electric kWh,50984.040096618366,2002/03
409,Craighill Primary School,Oil kWh,254286.01945655968,2002/03
410,Cromarty Primary School,Electric kWh,166354.32963244643,2002/03
411,Crossroads Primary School,Electric kWh,25208.69827053979,2002/03
412,Crown Primary School,Electric kWh,0.0,2002/03
413,Croy Primary School,Electric kWh,29861.302498329642,2002/03
414,Culloden Academy,Electric kWh,682834.9000000001,2002/03
415,Culloden Academy,Oil kWh,1413979.5975550455,2002/03
416,Dalmore Pavilion,Electric kWh,7306.457458449323,2002/03
417,Dalneigh Primary School,Electric kWh,0.0,2002/03
418,Daviot Primary School,Electric kWh,61017.78649049558,2002/03
419,Deshar Primary School,Electric kWh,133289.93681529138,2002/03
420,Dingwall Community Centre,Electric kWh,10642.350385915424,2002/03
421,Dingwall Primary School,Electric kWh,139827.87017820944,2002/03
422,Dingwall Primary School,Oil kWh,493598.0694185049,2002/03
423,Dochgarroch Primary School,Electric kWh,47452.74943373939,2002/03
424,Drakies Primary School,Electric kWh,2882.1576262873964,2002/03
425,Dunbeath Primary School,Electric kWh,52546.25750207055,2002/03
426,Duncan Forbes Primary School,Electric kWh,46393.238610359556,2002/03
427,Duncan Forbes Primary School,Oil kWh,313403.91803404974,2002/03
428,Dunnet Bay Pavilion Ranger Base,Electric kWh,81149.80791887332,2002/03
429,Dunvegan Primary School,Electric kWh,52090.15347267614,2002/03
430,Durness Primary School,Electric kWh,23582.274579542333,2002/03
431,Durness Primary School,Oil kWh,74950.49187060853,2002/03
432,Duror Primary School,Electric kWh,27387.533042670264,2002/03
433,Edderton Primary School,Electric kWh,20144.723998836194,2002/03
434,Edderton Primary School,Oil kWh,31602.429045132383,2002/03
435,Edinbane Primary School,Electric kWh,60637.6551617819,2002/03
436,Elgin Hostel ,Electric kWh,0.0,2002/03
