LOCATION,TYPE,UNIT,AMOUNT,YEAR
AULDEARN PRIMARY SCHOOL,ELECTRICITY,KWH,1951.389837236999,2001/02
AULDEARN PRIMARY SCHOOL,ELECTRICITY,£,130.10741742755062,2001/02
AULDEARN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06667423133235724,2001/02
AULDEARN PRIMARY SCHOOL,GAS,KWH,265778.846194955,2001/02
AULDEARN PRIMARY SCHOOL,GAS,£,3840.000670809464,2001/02
AULDEARN PRIMARY SCHOOL,GAS,£/KWH,0.014448104978199558,2001/02
AVOCH PRIMARY SCHOOL,ELECTRICITY,KWH,19789.355932203383,2001/02
AVOCH PRIMARY SCHOOL,ELECTRICITY,£,1825.4711823637194,2001/02
AVOCH PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.09224510330794117,2001/02
AVOCH PRIMARY SCHOOL,OIL,KWH,339511.7428310175,2001/02
AVOCH PRIMARY SCHOOL,OIL,£,6659.629159827153,2001/02
AVOCH PRIMARY SCHOOL,OIL,£/KWH,0.01961531316795071,2001/02
BADCAUL PRIMARY SCHOOL,ELECTRICITY,KWH,24473.317096018724,2001/02
BADCAUL PRIMARY SCHOOL,ELECTRICITY,£,1155.896212505855,2001/02
BADCAUL PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.04723087630380494,2001/02
BALLACHULISH PRIMARY SCHOOL,ELECTRICITY,KWH,47333.53490807892,2001/02
BALLACHULISH PRIMARY SCHOOL,ELECTRICITY,£,2469.2318744776067,2001/02
BALLACHULISH PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.052166648429550454,2001/02
BALLOCH PRIMARY SCHOOL,ELECTRICITY,KWH,9642.237861696909,2001/02
BALLOCH PRIMARY SCHOOL,ELECTRICITY,£,579.469671897989,2001/02
BALLOCH PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.060097010694985055,2001/02
BALNAIN PRIMARY SCHOOL,ELECTRICITY,KWH,4259.406804024907,2001/02
BALNAIN PRIMARY SCHOOL,ELECTRICITY,£,-1.0717187350258826,2001/02
BALNAIN PRIMARY SCHOOL,ELECTRICITY,£/KWH,-0.0002516122043128557,2001/02
BANAVIE PRIMARY SCHOOL,ELECTRICITY,KWH,5596.720037332404,2001/02
BANAVIE PRIMARY SCHOOL,ELECTRICITY,£,424.3435799118289,2001/02
BANAVIE PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.07582004764956693,2001/02
BANAVIE PRIMARY SCHOOL,OIL,KWH,342242.2886801562,2001/02
BANAVIE PRIMARY SCHOOL,OIL,£,6657.728497550945,2001/02
BANAVIE PRIMARY SCHOOL,OIL,£/KWH,0.019453260797273796,2001/02
BEAULY PRIMARY SCHOOL,ELECTRICITY,KWH,53158.50705258799,2001/02
BEAULY PRIMARY SCHOOL,ELECTRICITY,£,3229.1567725393925,2001/02
BEAULY PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.06074581382326806,2001/02
BEAULY PRIMARY SCHOOL,OIL,KWH,162423.785141308,2001/02
BEAULY PRIMARY SCHOOL,OIL,£,3109.0421145970595,2001/02
BEAULY PRIMARY SCHOOL,OIL,£/KWH,0.019141544521279356,2001/02
BISHOP EDEN PRIMARY SCHOOL,ELECTRICITY,KWH,559394.7561092476,2001/02
BISHOP EDEN PRIMARY SCHOOL,ELECTRICITY,£,660.238399616675,2001/02
BISHOP EDEN PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0011802727723241888,2001/02
BLACK ISLE CENTRE RADDERY SCHOOL,ELECTRICITY,KWH,44221.59457408865,2001/02
BLACK ISLE CENTRE RADDERY SCHOOL,ELECTRICITY,£,3253.8565822873447,2001/02
BLACK ISLE CENTRE RADDERY SCHOOL,ELECTRICITY,£/KWH,0.07358071579340832,2001/02
BLACK ISLE CENTRE RADDERY SCHOOL,OIL,KWH,15940.106951871652,2001/02
BLACK ISLE CENTRE RADDERY SCHOOL,OIL,£,335.55080213903744,2001/02
BLACK ISLE CENTRE RADDERY SCHOOL,OIL,£/KWH,0.021050724637681168,2001/02
BONAR BRIDGE PRIMARY SCHOOL,ELECTRICITY,KWH,1507229.906873615,2001/02
BONAR BRIDGE PRIMARY SCHOOL,ELECTRICITY,£,-188.2020324833711,2001/02
BONAR BRIDGE PRIMARY SCHOOL,ELECTRICITY,£/KWH,-0.00012486617444696998,2001/02
BOWER PRIMARY SCHOOL,ELECTRICITY,KWH,579078.2206088994,2001/02
BOWER PRIMARY SCHOOL,ELECTRICITY,£,597.5474629039815,2001/02
BOWER PRIMARY SCHOOL,ELECTRICITY,£/KWH,0.0010318942098628088,2001/02
BRIDGEND PRIMARY SCHOOL,ELECTRICITY,KWH,185591.388888889,2001/02
BRIDGEND PRIMARY SCHOOL,OIL,KWH,459422.0358277858,2001/02
BRIDGEND PRIMARY SCHOOL,OIL,£,8879.916473740437,2001/02
BRIDGEND PRIMARY SCHOOL,OIL,£/KWH,0.019328451361155588,2001/02
BROADFORD PRIMARY SCHOOL,ELECTRICITY,KWH,311563.037853378,2001/02
BROADFORD PRIMARY SCHOOL,ELECTRICITY,£,-5233.279345951126,2001/02
BROADFORD PRIMARY SCHOOL,ELECTRICITY,£/KWH,-0.016796855564150438,2001/02
BROADFORD PRIMARY SCHOOL,OIL,KWH,167271.9039278707,2001/02
BROADFORD PRIMARY SCHOOL,OIL,£,3230.0861023722828,2001/02
BROADFORD PRIMARY SCHOOL,OIL,£/KWH,0.019310392400179337,2001/02
BRORA HERITAGE CENTRE,ELECTRICITY,KWH,-36561.46048696572,2001/02
BRORA HERITAGE CENTRE,ELECTRICITY,£,-1492.0753968506024,2001/02
BRORA HERITAGE CENTRE,ELECTRICITY,£/KWH,0.04081006001886966,2001/02
BUALNALUIB NURSERY SCHOOL,ELECTRICITY,KWH,46053.89929742391,2001/02
BUALNALUIB NURSERY SCHOOL,ELECTRICITY,£,13.948032786885246,2001/02
BUALNALUIB NURSERY SCHOOL,ELECTRICITY,£/KWH,0.00030286323198838125,2001/02
